Category,Subcategory,Search Keyword,Product Name,Company Name,Price,MOQ,Location,Phone Number,Email ID,Website,Rating,Reviews,Image URL,Product URL,Product Description
Industrial Machinery,Lathe Machine,lathe machine,40 mm Lathe Machine,Vinit Machines Private Limited,Ask Price,N/A,Rajkot - Deals in Amreli,9428253067,vinit@balajilathe.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/3/404443568/VC/WS/JO/573514/lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/40-mm-lathe-machine-25402621197.html,Vinit Machines Private Limited
Industrial Machinery,Lathe Machine,lathe machine,HD 300 Lathe Machine,Chaitanya Machine Tools Industries,####,N/A,Rajkot,090332 21166,hitechlathe@gmail.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/11/467115874/YH/NE/FX/32853/ex-800-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/hd-300-lathe-machine-14425944212.html,Chaitanya Machine Tools Industries
Industrial Machinery,Lathe Machine,lathe machine,"6FT LATHE MACHINE, 1500 mm",Macpower Industries,####,N/A,Rajkot,7016610276,cs@macpowercnc.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/3/403853749/YH/VQ/HF/4141134/6ft-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/6ft-lathe-machine-2853710100248.html,"6FT LATHE MACHINE, 1500 mm"
Industrial Machinery,Lathe Machine,lathe machine,ITI lathe machine,Yug Machine Tools,####,N/A,Rajkot,97266 05042,akash.yugmachinery@gmail.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2021/6/DZ/JT/VN/3727168/all-gear-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/iti-lathe-machine-23627629733.html,GST Email Mobile Member: 14 yrs
Industrial Machinery,Lathe Machine,lathe machine,Centre Lathe Machine,Uma Enterprise,####,N/A,Rajkot,#ERROR!,sales@umaenterprise.org,NA,N/A,N/A,https://5.imimg.com/data5/ANDROID/Default/2022/6/VN/KV/MH/2187153/prod-20220605-1519017542919323988661850-jpg-250x250.jpg,https://www.indiamart.com/proddetail/centre-lathe-machine-23512141730.html,GST Email Mobile Member: 16 yrs
Industrial Machinery,Lathe Machine,lathe machine,"Electrical Industries Lathe Machine, 750 mm",K.K.Tools,####,N/A,Rajkot,8047552295,NA,NA,N/A,N/A,https://5.imimg.com/data5/BA/KM/FT/SELLER-979614/electrical-industries-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/electrical-industries-lathe-machine-7999023912.html,"Electrical Industries Lathe Machine, 750 mm"
Industrial Machinery,Lathe Machine,lathe machine,Shetal Semi Automatic Lathe Machine,Gayatri Enterprise,####,N/A,Rajkot,9374444111,gayatrienterprise21@yahoo.com,NA,N/A,N/A,https://5.imimg.com/data5/JK/ES/MY-7430699/semi-automatic-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/semi-automatic-lathe-machine-17907493273.html,Shetal Semi Automatic Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Bush Bearing Type Lathe Machine,Uni-Tech Machines,####,N/A,Rajkot,7942818983,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/12/571192482/XJ/UI/KC/718658/bush-bearing-type-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/bush-bearing-type-lathe-machine-24270969648.html,Bush Bearing Type Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,6 Feet Light Duty Lathe Machine,Acro Valve,####,N/A,Rajkot,7942716666,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/9/454500696/ZI/SA/QJ/107710408/medium-duty-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/6-feet-light-duty-lathe-machine-2855163809933.html,6 Feet Light Duty Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Shimoga Type Lathe Machine,Tirupati CNC Products,Ask Price,N/A,Rajkot,9925151087,sales@tirupaticnc.in,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/2/488100471/LW/DD/YU/2041072/shimoga-type-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/shimoga-type-lathe-machine-25239964112.html,Shimoga Type Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Boring Lathe Machine,Vidya Machine Tools,####,N/A,Rajkot,7942836024,NA,https://www.indiamart.com/vidya-machinetools/profile.html?srsltid=AfmBOoqgMwgklprUgvEyEtRzz4kNl2Xfjw_JyRBZeZRlBXZGOe-OMSgR,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/4/407109376/XG/PW/UY/191681624/product-jpeg-12-copy-250x250.png,https://www.indiamart.com/proddetail/boring-lathe-machine-2853777803691.html,GST Email Mobile Member: 2 yrs
Industrial Machinery,Lathe Machine,lathe machine,"Thada Lathe Machine, 350 mm",Parth Machin Tools,####,N/A,Rajkot,8043848950,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/9/545137636/YZ/QH/HV/53305778/thada-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/thada-lathe-machine-2855840683473.html,"Thada Lathe Machine, 350 mm"
Industrial Machinery,Lathe Machine,lathe machine,"6 Feet Lathe Machine, 1500 mm",Shree Momai Industries,####,N/A,Rajkot,7947124048,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2020/9/EN/OX/KI/4357901/5-3-feet-medium-duty-lathe-machine-250x250.jpeg,https://www.indiamart.com/proddetail/6-feet-lathe-machine-2853923936548.html,"6 Feet Lathe Machine, 1500 mm"
Industrial Machinery,Lathe Machine,lathe machine,7.5 Feet Gear Head Lathe Machine,Sharad Machine Tools,####,N/A,Rajkot,7949306527,info@sharadmachinetools.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/11/564189901/ZL/SQ/ZA/2969821/center-lathe-machine-250x250.jpeg,https://www.indiamart.com/proddetail/7-5-feet-gear-head-lathe-machine-2858054847033.html,7.5 Feet Gear Head Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,"Automatic Lathe Machine For Sugar Mills, 2000 mm",Technomech Machine Tools,####,N/A,Rajkot,7942788373,NA,NA,N/A,N/A,https://5.imimg.com/data5/GU/CT/MY-6697188/lathe-machine-for-sugar-mills-250x250.jpg,https://www.indiamart.com/proddetail/lathe-machine-for-sugar-mills-4689425955.html,"Automatic Lathe Machine For Sugar Mills, 2000 mm"
Industrial Machinery,Lathe Machine,lathe machine,Lathe Machine,Alfa Steel,Ask Price,N/A,Rajkot,8043868598,NA,NA,N/A,N/A,https://5.imimg.com/data5/WA_9696/Default/2026/3/588213091/KW/ET/WW/255607812/image-250x250.jpeg,https://www.indiamart.com/proddetail/lathe-machine-2858996235888.html,GST Email Mobile Member: 6 months
Industrial Machinery,Lathe Machine,lathe machine,"5.3 Feet Medium Duty Lathe Machine, 80 mm",Krishna Industries,####,N/A,Rajkot - Deals in Amreli,9737003109,info@krishna-industries.co.in,NA,N/A,N/A,https://5.imimg.com/data5/ANDROID/Default/2022/11/JL/MB/MR/4936018/product-jpeg-250x250.jpg,https://www.indiamart.com/proddetail/5-3-feet-medium-duty-lathe-machine-2848944244912.html,"5.3 Feet Medium Duty Lathe Machine, 80 mm"
Industrial Machinery,Lathe Machine,lathe machine,"Semi-Automatic Lathe Machine for ITI and Engineering Colleges, 250 mm",Yogi Machine Tools,####,N/A,Rajkot - Deals in Amreli,8866770021,sales@yogimachinetools.com,NA,N/A,N/A,https://5.imimg.com/data5/RE/AR/MY-8510613/lathe-machine-for-iti-and-engineering-colleges-250x250.png,https://www.indiamart.com/proddetail/lathe-machine-9810800662.html,"Semi-Automatic Lathe Machine for ITI and Engineering Colleges, 250 mm"
Industrial Machinery,Lathe Machine,lathe machine,Cone Pulley Lathe Machine,Yogi Machine Tools,####,N/A,Rajkot - Deals in Amreli,8866770021,sales@yogimachinetools.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2023/5/307533024/SF/RX/QM/2957368/cone-pulley-lathe-250x250.jpeg,https://www.indiamart.com/proddetail/cone-pulley-lathe-machine-21162805712.html,Cone Pulley Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,250 mm Automatic Lathe Machine,Ganesh Machine Tools,####,N/A,Rajkot - Deals in Amreli,#ERROR!,sales@gmtrajkotlathe.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/3/498009493/ND/IP/ZX/170935/250-mm-automatic-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/250-mm-automatic-lathe-machine-25960125630.html,250 mm Automatic Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,40 mm Lathe Machine,Vinit Machines Private Limited,Ask Price,N/A,Rajkot - Deals in Amreli,9428253067,vinit@balajilathe.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/3/404443568/VC/WS/JO/573514/lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/40-mm-lathe-machine-25402621197.html,Vinit Machines Private Limited
Industrial Machinery,Lathe Machine,lathe machine,HD 300 Lathe Machine,Chaitanya Machine Tools Industries,####,N/A,Rajkot,090332 21166,hitechlathe@gmail.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/11/467115874/YH/NE/FX/32853/ex-800-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/hd-300-lathe-machine-14425944212.html,Chaitanya Machine Tools Industries
Industrial Machinery,Lathe Machine,lathe machine,"6FT LATHE MACHINE, 1500 mm",Macpower Industries,####,N/A,Rajkot,7016610276,cs@macpowercnc.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/3/403853749/YH/VQ/HF/4141134/6ft-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/6ft-lathe-machine-2853710100248.html,"6FT LATHE MACHINE, 1500 mm"
Industrial Machinery,Lathe Machine,lathe machine,ITI lathe machine,Yug Machine Tools,####,N/A,Rajkot,97266 05042,akash.yugmachinery@gmail.com,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2021/6/DZ/JT/VN/3727168/all-gear-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/iti-lathe-machine-23627629733.html,GST Email Mobile Member: 14 yrs
Industrial Machinery,Lathe Machine,lathe machine,Centre Lathe Machine,Uma Enterprise,####,N/A,Rajkot,#ERROR!,sales@umaenterprise.org,NA,N/A,N/A,https://5.imimg.com/data5/ANDROID/Default/2022/6/VN/KV/MH/2187153/prod-20220605-1519017542919323988661850-jpg-250x250.jpg,https://www.indiamart.com/proddetail/centre-lathe-machine-23512141730.html,GST Email Mobile Member: 16 yrs
Industrial Machinery,Lathe Machine,lathe machine,"Electrical Industries Lathe Machine, 750 mm",K.K.Tools,####,N/A,Rajkot,8047552295,NA,NA,N/A,N/A,https://5.imimg.com/data5/BA/KM/FT/SELLER-979614/electrical-industries-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/electrical-industries-lathe-machine-7999023912.html,"Electrical Industries Lathe Machine, 750 mm"
Industrial Machinery,Lathe Machine,lathe machine,Shetal Semi Automatic Lathe Machine,Gayatri Enterprise,####,N/A,Rajkot,9374444111,gayatrienterprise21@yahoo.com,NA,N/A,N/A,https://5.imimg.com/data5/JK/ES/MY-7430699/semi-automatic-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/semi-automatic-lathe-machine-17907493273.html,Shetal Semi Automatic Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Bush Bearing Type Lathe Machine,Uni-Tech Machines,####,N/A,Rajkot,7942818983,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/12/571192482/XJ/UI/KC/718658/bush-bearing-type-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/bush-bearing-type-lathe-machine-24270969648.html,Bush Bearing Type Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,6 Feet Light Duty Lathe Machine,Acro Valve,####,N/A,Rajkot,7942716666,NA,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/9/454500696/ZI/SA/QJ/107710408/medium-duty-lathe-machine-250x250.jpg,https://www.indiamart.com/proddetail/6-feet-light-duty-lathe-machine-2855163809933.html,6 Feet Light Duty Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Shimoga Type Lathe Machine,Tirupati CNC Products,Ask Price,N/A,Rajkot,9925151087,sales@tirupaticnc.in,NA,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2025/2/488100471/LW/DD/YU/2041072/shimoga-type-lathe-machine-250x250.png,https://www.indiamart.com/proddetail/shimoga-type-lathe-machine-25239964112.html,Shimoga Type Lathe Machine
Industrial Machinery,Lathe Machine,lathe machine,Boring Lathe Machine,Vidya Machine Tools,####,N/A,Rajkot,7942836024,NA,https://www.indiamart.com/vidya-machinetools/profile.html?srsltid=AfmBOoqgMwgklprUgvEyEtRzz4kNl2Xfjw_JyRBZeZRlBXZGOe-OMSgR,N/A,N/A,https://5.imimg.com/data5/SELLER/Default/2024/4/407109376/XG/PW/UY/191681624/product-jpeg-12-copy-250x250.png,https://www.indiamart.com/proddetail/boring-lathe-machine-2853777803691.html,GST Email Mobile Member: 2 yrs
